Specific Service component (colloquial name),top level service,type name CF,cf_property_desc,Pattern in CF registry?,Regex from registry,registry explanation,Our own regex,Alternative regex,URL documentation,Rule in plain English,Validation error text,URL AWS console,Regex copied from external page:,Is tag?,Inserted by,can be deleted?
CodeDeploy Application,,AWS::CodeDeploy::Application,ApplicationName,,,"Type: String
Minimum: 1
Maximum: 100
Update requires: Replacement",,,,100 character limit,,,,,daniel,
CodeDeploy Configuration,,AWS::CodeDeploy::DeploymentConfig,DeploymentConfigName,,,"A name for the deployment configuration. If you don't specify a name, AWS CloudFormation generates a unique physical ID and uses that ID for the deployment configuration name. For more information, see Name Type. Type: String
Minimum: 1
Maximum: 100
Update requires: Replacement",,,,100 character limit,,,,,daniel,
CodePipeline Pipeline,,AWS::CodePipeline::Pipeline,Name,,[A-Za-z0-9.@\-_]+,,,,,No more than 100 characters,,,,,daniel,
FIS Experiment Template,,AWS::FIS::ExperimentTemplate,-,,-,,,,,Enter a description of up to 512 characters.,,,,,daniel,
AppStream Stack,,AWS::AppStream::Stack,Name,,"^[a-zA-Z0-9][a-zA-Z0-9_.-]{0,100}$",,,,,"Allowed characters: a-z, A-Z, 0-9, _ - (hyphen)",,,,,daniel,
AppStream Application,,AWS::AppStream::Application,Name,,"^[a-zA-Z0-9][a-zA-Z0-9_.-]{0,100}$",,,,,"Allowed characters: a-z, A-Z, 0-9, _ - (hyphen)",,,,,daniel,
Amazon Location Map,,AWS::Location::Map,MapName,,^[-._\w]+$,,,,,"Use only letters, numbers, hyphens, periods, or underscores with no spaces.",,,,,daniel,
Amazon Location Place Index,,AWS::Location::PlaceIndex,IndexName,,^[-._\w]+$,,,,,"Use only letters, numbers, hyphens, periods, or underscores with no spaces.",,,,,daniel,
Amazon Location Route Calculator,,AWS::Location::RouteCalculator,CalculatorName,,^[-._\w]+$,,,,,"Use only letters, numbers, hyphens, periods, or underscores with no spaces.",,,,,daniel,
Amazon Location Geofence Collector,,AWS::Location::GeofenceCollection,CollectionName,,^[-._\w]+$,,,,,"Use only letters, numbers, hyphens, periods, or underscores with no spaces.",,,,,daniel,
Amazon Location Tracker,,AWS::Location::Tracker,TrackerName,,^[-._\w]+$,,,,,"Use only letters, numbers, hyphens, periods, or underscores with no spaces.",,,,,daniel,
GameSparks Create Game,,-,-,,-,,,,,"The game name can have up to 36 characters. It must start with a letter and contain valid characters: A-Z, a-z, 0-9, and _ - (hyphen). The name can't be changed after the game is created.",,,,,daniel,
IoT Analytics,,AWS::IoTAnalytics::Channel,ChannelName,,(^(?!_{2}))(^[a-zA-Z0-9_]+$),,,,,"Valid characters: a-z, 0-9, and _ (underscore).",,,,,daniel,
IoT GreenGrass,,AWS::Greengrass::CoreDefinition,Name,,,"Required: Yes
Type: String
Update requires: No interruption",,,,"The name can be up to 128 characters. Valid characters: a-z, A-Z, 0-9, colon (:), underscore (_), and hyphen (-).",,,,,daniel,
IoT TwinMaker,,AWS::IoTTwinMaker::Workspace,WorkspaceId,,,"Required: Yes
Type: String
Update requires: Replacement",,,,"Name must be alphanumeric, unique and contain fewer than 128 characters. It must start with a letter and contain no spaces.",,,,,daniel,
Comprehend Analysis Job,,-,-,,-,,,,,"The name can have up to 256 characters. Valid characters: A-Z, a-z, 0-9, space, and % + . / : = @ _ - (hyphen)",,,,,daniel,
DeepRacer Model,,-,-,,-,,,,,"The model name can have up to 64 characters. Valid characters: A-Z, a-z, 0-9, and hypens (-). No spaces or underscores (_).",,,,,daniel,
DeepRacer Garage,,-,-,,-,,,,,"The vehicle name must have 1-32 characters. Valid characters: A-Z, a-z, 0-9, _ (underscore) - (hyphen).",,,,,daniel,
Forecast Dataset Group,,AWS::Forecast::DatasetGroup,DatasetGroupName,,^[a-zA-Z][a-zA-Z0-9_]*,,,,,"The dataset group name must have 1 to 63 characters. Valid characters: a-z, A-Z, 0-9, and _",,,,,daniel,
HealthLake Data Store,,AWS::HealthLake::FHIRDatastore,DatastoreName,,^([\p{L}\p{Z}\p{N}_.:/=+\-%@]*)$,,,,,"The name can have up to 256 characters. Valid characters: A-Z, a-z, 0-9, space, and % + . / : = @ _ - (hyphen).",,,,,daniel,
Kendra Indexes,,AWS::Kendra::Index,Name,,[a-zA-Z0-9][a-zA-Z0-9_-]*,,,,,"Maximum of 1000 alphanumeric characters. Can include hyphens (-), but not spaces.",,,,,daniel,
Lex Bot,,AWS::Lex::Bot,Name,,-,,,,,"Maximum 100 characters. Valid characters: A–Z, a–z, 0–9, -, _",,,,,daniel,
Lookout for Projects Project,,-,-,,-,,,,,"The project name can have up to 200 characters. Valid characters: a-z, A-Z, 0-9, _, and - (hyphen)",,,,,daniel,
Lookout for Metrics Detector,,AWS::LookoutMetrics::AnomalyDetector,AnomalyDetectorName,,-,,,,,"The name can have up to 63 character max. Valid characters: a-z, A-Z, 0-9, - (hyphen) and _.",,,,,daniel,
Monitron Projects,,-,-,,-,,,,,"The project name must have 1 to 60 characters. Valid characters: a–z, A–Z, 0–9, punctuation marks, _ (underscore) and space.",,,,,daniel,
Personalize Dataset Group,,AWS::Personalize::DatasetGroup,Name,,^[a-zA-Z0-9][a-zA-Z0-9\-_]*,,,,,"The dataset group name must have 1-63 characters with no spaces. Valid characters: a-z, A-Z, 0-9, and _ - (hyphen).",,,,,daniel,
SageMaker Labelling Job,,-,-,,-,,,,,"Maximum of 63 alphanumeric characters. Can include hyphens (-), but not spaces. Must be unique within your account in an AWS Region.",,,,,daniel,
SageMaker Notebook Instance,,AWS::SageMaker::NotebookInstance,NotebookInstanceName,,^[a-zA-Z0-9](-*[a-zA-Z0-9])*,,,,,"Maximum of 63 alphanumeric characters. Can include hyphens (-), but not spaces. Must be unique within your account in an AWS Region.",,,,,daniel,
SageMaker Repository,,AWS::SageMaker::CodeRepository,CodeRepositoryName,,"^[a-zA-Z0-9](-*[a-zA-Z0-9]){0,62}$",,,,,"The repository name must be unique in your account and in the AWS Region and can have up to 63 characters. Valid characters: a-z, A-Z, 0-9, and - (hyphen)",,,,,daniel,
SageMaker Proessing Job,,-,-,,-,,,,,"Maximum of 63 alphanumeric characters. Can include hyphens (-), but not spaces. Must be unique within your account in an AWS Region.",,,,,daniel,
SageMaker Algorithm,,-,-,,-,,,,,"The algorithm name must be unique in your account and in the AWS Region and can have up to 63 characters. Valid characters: a-z, A-Z, 0-9, and - (hyphen)",,,,,daniel,
SageMaker Training Job,,-,-,,-,,,,,"Maximum of 63 alphanumeric characters. Can include hyphens (-), but not spaces. Must be unique within your account in an AWS Region.",,,,,daniel,
SageMaker Hyperparameter Tuning Job,,-,-,,-,,,,,"The name must be from 1 to 32 characters and must be unique in your AWS account and AWS Region. Valid characters are a-z, A-Z, 0-9, and hyphen (-).",,,,,daniel,
SageMaker Compilation Job,,-,-,,-,,,,,"The name must be between 1 and 63 characters in length and unique in your AWS account and AWS region. Valid characters and a-z, A-Z, 0-9, and hyphen (-).",,,,,daniel,
